State,Year,Population
F.T. Labuan,2020,16418
F.T. Labuan,2021,16800
F.T. Labuan,2022,17209
F.T. Labuan,2023,17509
F.T. Labuan,2024,17560
Johor,2015,934000
Johor,2016,962000
Johor,2017,982000
Johor,2018,1003000
Johor,2019,1024000
Johor,2020,1043954
Johor,2021,1063684
Johor,2022,1083185
Johor,2023,1102333
Johor,2024,1117032
Kedah,2015,501000
Kedah,2016,507000
Kedah,2017,519000
Kedah,2018,533000
Kedah,2019,540000
Kedah,2020,551103
Kedah,2021,562647
Kedah,2022,565089
Kedah,2023,575523
Kedah,2024,585218
Kelantan,2015,205000
Kelantan,2016,211000
Kelantan,2017,215000
Kelantan,2018,220000
Kelantan,2019,225000
Kelantan,2020,228248
Kelantan,2021,233005
Kelantan,2022,235455
Kelantan,2023,238279
Kelantan,2024,235036
Melaka,2015,245000
Melaka,2016,252000
Melaka,2017,259000
Melaka,2018,264000
Melaka,2019,269000
Melaka,2020,276056
Melaka,2021,284376
Melaka,2022,290732
Melaka,2023,297720
Melaka,2024,307163
Negeri Sembilan,2015,339000
Negeri Sembilan,2016,350000
Negeri Sembilan,2017,362000
Negeri Sembilan,2018,370000
Negeri Sembilan,2019,379000
Negeri Sembilan,2020,385348
Negeri Sembilan,2021,392706
Negeri Sembilan,2022,400311
Negeri Sembilan,2023,403818
Negeri Sembilan,2024,426399
Pahang,2015,346000
Pahang,2016,353000
Pahang,2017,364000
Pahang,2018,373000
Pahang,2019,379000
Pahang,2020,389144
Pahang,2021,393579
Pahang,2022,404772
Pahang,2023,409385
Pahang,2024,415872
Perak,2015,649000
Perak,2016,663000
Perak,2017,677000
Perak,2018,688000
Perak,2019,698000
Perak,2020,713645
Perak,2021,727480
Perak,2022,730568
Perak,2023,746457
Perak,2024,761296
Perlis,2015,65000
Perlis,2016,66000
Perlis,2017,67000
Perlis,2018,67000
Perlis,2019,67000
Perlis,2020,67768
Perlis,2021,68863
Perlis,2022,67851
Perlis,2023,68625
Perlis,2024,70043
Pulau Pinang,2015,495000
Pulau Pinang,2016,504000
Pulau Pinang,2017,518000
Pulau Pinang,2018,529000
Pulau Pinang,2019,546000
Pulau Pinang,2020,558721
Pulau Pinang,2021,571219
Pulau Pinang,2022,585740
Pulau Pinang,2023,593255
Pulau Pinang,2024,606719
Selangor,2015,1766000
Selangor,2016,1835000
Selangor,2017,1922000
Selangor,2018,2003000
Selangor,2019,2092000
Selangor,2020,2166925
Selangor,2021,2230180
Selangor,2022,2262706
Selangor,2023,2331435
Selangor,2024,2408040
Terengganu,2015,239000
Terengganu,2016,246000
Terengganu,2017,252000
Terengganu,2018,261000
Terengganu,2019,266000
Terengganu,2020,272463
Terengganu,2021,279302
Terengganu,2022,279746
Terengganu,2023,285241
Terengganu,2024,290258
W.P. Labuan,2015,15000
W.P. Labuan,2016,15000
W.P. Labuan,2017,15000
W.P. Labuan,2018,16000
W.P. Labuan,2019,16000
