State,Year,Consumption,Type,Model
Johor,2024,901.0,Prediction,ARIMA (Momentum)
Johor,2025,900.11,Prediction,ARIMA (Momentum)
Johor,2026,899.97,Prediction,ARIMA (Momentum)
Johor,2027,899.95,Prediction,ARIMA (Momentum)
Johor,2028,899.95,Prediction,ARIMA (Momentum)
Johor,2029,899.95,Prediction,ARIMA (Momentum)
Johor,2003,560.0,Historical,Actual
Johor,2004,610.0,Historical,Actual
Johor,2005,621.0,Historical,Actual
Johor,2006,644.0,Historical,Actual
Johor,2007,664.0,Historical,Actual
Johor,2008,682.0,Historical,Actual
Johor,2009,713.0,Historical,Actual
Johor,2010,730.0,Historical,Actual
Johor,2011,738.0,Historical,Actual
Johor,2012,769.0,Historical,Actual
Johor,2013,797.0,Historical,Actual
Johor,2014,823.0,Historical,Actual
Johor,2015,811.0,Historical,Actual
Johor,2016,773.0,Historical,Actual
Johor,2017,785.0,Historical,Actual
Johor,2018,809.0,Historical,Actual
Johor,2019,835.0,Historical,Actual
Johor,2020,867.0,Historical,Actual
Johor,2021,879.0,Historical,Actual
Johor,2022,867.0,Historical,Actual
Johor,2023,883.0,Historical,Actual
Johor,2024,901.0,Historical,Actual
Johor,2024,901.0,Prediction,Final Ensemble (Best)
Johor,2025,902.55,Prediction,Final Ensemble (Best)
Johor,2026,907.18,Prediction,Final Ensemble (Best)
Johor,2027,911.87,Prediction,Final Ensemble (Best)
Johor,2028,916.57,Prediction,Final Ensemble (Best)
Johor,2029,921.27,Prediction,Final Ensemble (Best)
Johor,2024,901.0,Prediction,Hybrid (Volatile)
Johor,2025,905.0,Prediction,Hybrid (Volatile)
Johor,2026,914.4,Prediction,Hybrid (Volatile)
Johor,2027,923.79,Prediction,Hybrid (Volatile)
Johor,2028,933.19,Prediction,Hybrid (Volatile)
Johor,2029,942.59,Prediction,Hybrid (Volatile)
Johor,2024,901.0,Prediction,Linear Regression (High)
Johor,2025,878.23,Prediction,Linear Regression (High)
Johor,2026,887.63,Prediction,Linear Regression (High)
Johor,2027,897.03,Prediction,Linear Regression (High)
Johor,2028,906.43,Prediction,Linear Regression (High)
Johor,2029,915.83,Prediction,Linear Regression (High)
Johor,2024,901.0,Prediction,Random Forest (Standalone)
Johor,2025,890.72,Prediction,Random Forest (Standalone)
Johor,2026,890.72,Prediction,Random Forest (Standalone)
Johor,2027,890.72,Prediction,Random Forest (Standalone)
Johor,2028,890.72,Prediction,Random Forest (Standalone)
Johor,2029,890.72,Prediction,Random Forest (Standalone)
Johor,2024,901.0,Prediction,XGBoost (Gradient Boosting)
Johor,2025,908.5399780273438,Prediction,XGBoost (Gradient Boosting)
Johor,2026,908.5399780273438,Prediction,XGBoost (Gradient Boosting)
Johor,2027,908.5399780273438,Prediction,XGBoost (Gradient Boosting)
Johor,2028,908.5399780273438,Prediction,XGBoost (Gradient Boosting)
